Name,Website,Latitude,Longitude,ORG City,City,Comments,"Suggested search term, if any"
Boîte à livres # 5423,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-5423,48.56695,7.759229,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 5979,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-5979,48.592228,7.718451,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 802,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-802,48.573559,7.762,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 803,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-803,48.570065,7.75212,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 8367,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-8367,48.579308,7.721972,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Atelier Salmon,https://www.reliure-art.com/,48.559288,7.767229,STRASBOURG,Eurométropole de Strasbourg,,bookbinding
Masseur de métal,https://www.masseur-metal.fr/,48.575395,7.787431,STRASBOURG,Eurométropole de Strasbourg,,blacksmith
Arachnima,https://arachnima.org/,48.582996,7.735823,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Atelier M33,https://www.atelierm33.com/,48.560474,7.743673,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Canapé Queer,https://www.facebook.com/Canape.Queer.Strasbourg/?locale=fr_FR,48.578844,7.753638,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Doko büro,https://dokoburo.fr/,48.577926,7.778724,STRASBOURG,Eurométropole de Strasbourg,coworking,arts_and_entertainment
House of Marley Entertainment,https://www.facebook.com/lahouseofmarley/?locale=fr_FR,48.581254,7.757309,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Le Local ,https://www.facebook.com/lelocalbar/,48.578663,7.759812,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Le Phare Citadelle,https://phare-citadelle.eu/,48.572835,7.777934,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Les compotes,https://lescompotes.fr/,48.565506,7.763593,STRASBOURG,Eurométropole de Strasbourg,coworking SCIC,arts_and_entertainment
Les Pachamama's,https://www.instagram.com/tierslieu_pachamamas/,48.569027,7.778691,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
Les Savons d'Hélène,https://www.lessavonsdhelene.fr/,48.582085,7.744339,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
L'Orée 85,https://www.oree85.org/,48.568917,7.734732,STRASBOURG,Eurométropole de Strasbourg,,arts_and_entertainment
2061lacomète,https://www.pascalstutz.com/2061lacomegravete.html#/,48.590794 ,7.751757,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Aéronautique Domestique,https://ateliers-ouverts.net/ateliers/aeronautique-domestique-eric-meyer/,48.576094,7.78872,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Ahmet Dogan ,https://ateliers-ouverts.net/artistes/ahmet-dogan/,48.547539,7.7107185,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Anke Vrijs,https://ankevrijs.wordpress.com/,48.57605,7.687368,ECKBOLSHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Art et photo - Le Valparc,https://www.facebook.com/EspaceArtetPhoto/,48.601796,7.682238,OBERHAUSBERGEN,Eurométropole de Strasbourg,,arts_and_crafts
Art studio création,https://www.ateliersouverts.net/ateliers/art-studio-creation/,48.602917,7.74249887,SCHILTIGHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Atelier 152,https://des-filles-a-decoudre.fr/,48.605339,7.74810076,SCHILTIGHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Atelier du 6,https://www.facebook.com/matthieubonnaud.fr/,48.559288,7.767229,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Atelier du bouclier,https://ateliers-ouverts.net/ateliers/atelier-du-bouclier/,48.58122,7.744222,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Atelier Melyco,https://www.instagram.com/melyca.chaban/,48.6175906,7.7547152,BISCHHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Ateliers bois - Ateliers de la ville de Strasbourg,https://www.strasbourg.eu/ateliers-artistes,48.573864,7.789625,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Bastion XIV,https://www.instagram.com/bastion.14/,48.589166,7.733947,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Braesch Romby,https://jlbraesch.sitew.fr/,48.581941,7.754068,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Christophe Wehrung,https://www.christophewehrung.com/,48.582421,7.753493,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Couleurs du temps ,https://ateliers-ouverts.net/ateliers/couleurs-du-temps/,48.581471,7.743544,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
des Miches,https://ateliers-ouverts.net/ateliers/des-miches/,48.565884,7.7027699,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Dominique Kippelen,https://dominiquekippelen.com/,48.574276,7.788667,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Duanyer Pascale ,https://pascaleduanyer.fr/topic2/index.html,48.5131855,7.6427955,GEISPOLSHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Espace temps,https://www.facebook.com/popcultart/?locale=fr_FR,48.58091,7.731475,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Gabriella Benevolenza,https://www.gabriellabenevolenza.com/,48.589611 ,7.748565,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Hervé Le Bis,https://herve-lebis-artistepeintre.book.fr/,48.578722,7.710575,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Imago,https://atelierimago.net/,48.578721,7.710565,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
JoVe-art,https://jove-art.com/,48.59016 ,7.78387,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
La drêche,https://www.facebook.com/collectif.ladreche/?locale=fr_FR,48.577899,7.710456,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
La Forêt Bleue,https://www.facebook.com/la.foret.bleue.parc.gruber/,48.577661,7.709579,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
La Renouvelle,https://larenouvelle.eu/,48.559635,7.779037,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
L'atelier du Parc,https://www.facebook.com/people/LAtelier-du-Parc/100081288518248/,48.602757,7.746788,SCHILTIGHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Laurent Reynès,https://www.laurent-reynes.com/,48.579308,7.721972,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Le chant des couleurs,https://ateliers-ouverts.net/ateliers/le-chant-des-couleurs/,48.584532,7.626014,ACHENHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Le Cherche Soleil,https://www.facebook.com/p/Atelier-du-Cherche-Soleil-100063358639587/,48.567398,7.759231,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Le CRIC,https://www.facebook.com/CollectifCRIC/,48.573864,7.789625,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Lili Tarentule,https://www.facebook.com/litarentule/?locale=fr_FR,48.575508,7.759377,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Marion Galut,https://mariongalut.com/fr/,48.609931,7.743949,SCHILTIGHEIM,Eurométropole de Strasbourg,,arts_and_crafts
Mourbat Hafid,https://mourbathafid.wixsite.com/art-mourbat,48.577899,7.7104563,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Moyi mwinda,https://www.instagram.com/christian_de_strasbourg/,48.572556,7.719837,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Munoz Pinto,https://pintosculpteur.wixsite.com/pinto,48.5684454,7.7881382,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
N°5,https://www.facebook.com/caroline.steinbach.125/about?locale=fr_FR,48.5684455,7.7881383,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Nadine Untereiner,https://ateliers-ouverts.net/ateliers/nadine-untereiner/,48.579536,7.754056,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Olivier Godat,https://oliviergodat.com,48.576094,7.78872,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Papier Gachette,https://papiergachette.blogspot.com/,48.582543,7.728281,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Pare-défaut,https://ateliers-ouverts.net/ateliers/37533/,48.578476,7.710597,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Patrick Bastardoz,http://patrick-bastardoz.com/,48.578724,7.71057,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Pour la vie,https://sachalehneartist.bigcartel.com/,48.58506 ,7.777046,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
PPP Univers,https://www.franciswillm.com/,48.580086,7.760338,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Sugamama,https://www.instagram.com/sugamama_nailz/reels/,48.592632,7.713246,STRASBOURG,Eurométropole de Strasbourg,Nail artist,arts_and_crafts
Underground ink family,https://www.facebook.com/underground.ink.family/?locale=fr_FR,48.582085,7.744339,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Vanessa Garner,https://vanessagarner.fr/,48.582341,7.749154,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Villa Haslach,https://ateliers-ouverts.net/ateliers/villa-haslach/,48.568905,7.70873,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
Vincent Malarte,https://www.vincentmalarte.com/,48.578723,7.710573,STRASBOURG,Eurométropole de Strasbourg,,arts_and_crafts
L'atelier Noé,https://www.facebook.com/atelierdenoe/?locale=fr_FR,48.580821,7.73142,STRASBOURG,Eurométropole de Strasbourg,,art_school
Liconograf,https://www.liconograf.com/,48.578129,7.710798,STRASBOURG,Eurométropole de Strasbourg,,art_school
MJM,https://www.mjm-design.com/ecole/strasbourg,48.582639,7.760186,STRASBOURG,Eurométropole de Strasbourg,,art_school
Pauline Dubost,https://www.paulinedubostpeinture.fr/,48.5684456,7.7881384,STRASBOURG,Eurométropole de Strasbourg,,art_school
Plateau des Arts,https://www.plateaudesarts.fr/,48.558229,7.70982,OSWALD,Eurométropole de Strasbourg,,art_school
Appolonia - Echanges Artistiques Européens,https://www.apollonia-art-exchanges.com/fr/,48.598591,7.777332,STRASBOURG,Eurométropole de Strasbourg,,art_gallery
La péniche mécanique,https://www.penichemecanique.com/,48.574081,7.760208,STRASBOURG,Eurométropole de Strasbourg,,art_and_entertainment
INSA département architecture,https://www.insa-strasbourg.fr/fr/architecture/,48.581704,7.764656,STRASBOURG,Eurométropole de Strasbourg,,architecture_school
LISAA,https://www.lisaa.com/fr,48.584801,7.737744,STRASBOURG,Eurométropole de Strasbourg,,art_school
120 GR,https://www.120gr.archi/,48.58168,7.743534,STRASBOURG,Eurométropole de Strasbourg,,architectural_designer
Atelier NA,https://www.atelier-na.eu/,48.602758,7.746789,SCHILTIGHEIM,Eurométropole de Strasbourg,,architectural_designer
Ateliers RTT,https://www.lesateliersrtt.com/,48.582229,7.749734,STRASBOURG,Eurométropole de Strasbourg,,architectural_designer
Les nouveaux voisins,https://www.lesnouveauxvoisins.fr/,48.587276,7.756688,STRASBOURG,Eurométropole de Strasbourg,,architectural_designer
Marc Trichot,https://marc-trichot.com/,48.585793 ,7.774909,STRASBOURG,Eurométropole de Strasbourg,,architectural_designer
nunc architectes,https://www.nunc.fr/,48.57605,7.687368,ECKBOLSHEIM,Eurométropole de Strasbourg,,architectural_designer
Urbitat +,https://www.urbitat.fr,48.589256,7.751167,STRASBOURG,Eurométropole de Strasbourg,,architectural_designer
Lycée Le Corbusier – Pôle Design,https://www.lyceelecorbusier.eu/?page_id=367,48.529378,7.724952,ILLKIRCH-GRAFFENSTADEN,Eurométropole de Strasbourg,,architecture_school
