Name,Category,Website,,,City,Latitude,Longitude,,Comments,"NOSuggested search term, if any"
Denné centrum Sihoť,community_center,https://trencin.sk/pre-obcanov/socialne-veci/denne-centra/,,,Trenčín,48.898274,18.063224,,,
Detská ľudový súbor Rozmarínček,folklore,https://cvctn.edupage.org/text18/?eqa=dGV4dD10ZXh0L3RleHQxOCZzdWJwYWdlPTYmc2tnZHllYXI9MjAyNA%3D%3D,,,Trenčín,48.870639,18.046069,,,
Detský folklórny súbor Drobci,folklore,https://www.hudobnaskolateplice.sk/tanecna-skola-pani-kardosovej/ ,,,Trenčín,48.8727207,18.0453483,,,
Detský folklórny súbor Kornička,folklore,https://www.kornicka.sk/ ,,,Trenčín,48.895403,18.041766,,,
Detský folklórny súbor Kubranček,folklore,https://visit.trencin.sk/detske-folklorne-subory-skupiny/ ,,,Trenčín,48.8943645035406,18.0785075060164,,,
Detský folklórny súbor Radosť,folklore,https://visit.trencin.sk/detske-folklorne-subory-skupiny/ ,,,Trenčín,48.88309,18.033113,,,
Detský folklórny súbor Zlatováčik,folklore,https://zszlatovce.edupage.org/ ,,,Trenčín,48.903592,18.009349,,,
Detský spevácky zbor Vážky,choir,https://zsdhonytn.edupage.org/a/detsky-spevacky-zbor-vazky-2 ,,,Trenčín,48.881383,18.03019,,,
Detský súbor starej hudby Fistulatoris Consort,musical_band_orchestras,https://musicapoetica.szm.sk/ ,,,Trenčín,48.898274,18.063224,,,
Divadlo 21 Opatová,theatrical_productions,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/,,,Trenčín,48.913778,18.0932,,,
Divadlo Fortissimo,theatrical_productions,https://thff.eu/sk/ ,,,Trenčín,48.889778,18.058691,,,
Divadlo Normálka,theatrical_productions,http://www.normalka.sk/ ,,,Trenčín,48.8950943,18.0684274,,,
Dogma Divadlo,theatrical_productions,http://www.dogmadivadlo.sk ,,,Trenčín,48.8947912,18.0371435,,,
Dychová hudba Opatovanka,musical_band_orchestras,https://www.facebook.com/p/Opatovanka-100064437951947/?locale=sk_SK ,,,Trenčín,48.914660724822,18.0934804645979,,,
Dychová hudba Textilanka,musical_band_orchestras,https://www.facebook.com/textilanka/?locale=sk_SK ,,,Trenčín,48.9038171600256,18.0140122174228,,,
Dychová hudba Trenčianska dvanástka,musical_band_orchestras,https://sk.wikipedia.org/wiki/Tren%C4%8Dianska_dvan%C3%A1stka ,,,Trenčín,48.8478774582459,18.0122209543837,,,
Erbetes Quartet,jazz_and_blues,https://www.facebook.com/profile.php?id=100009952420868,,,Trenčín,48.896733,18.045757,,,
Evanjelický kostol,music_venue,https://ecav-trencin.eu/,,,Trenčín,48.89212,18.037571,,,
Expo Center Trenčín,exhibition_and_trade_center,http://www.expocenter.sk/ ,,,Trenčín,48.8875618,18.0634098,,,
Fatima Trenčín,venue_and_event_space,https://restaurantfatima.sk/ ,,,Trenčín,48.89394,18.042603,,,
Festival Divadlo jedného herca,festival,https://www.klubluc.sk/,,,Trenčín,48.895365,18.041664,,,
Festival HoryZonty,film_festivals_and_organisations,https://www.horyzonty.sk/,,,Trenčín,48.8922483,18.038723,,,
Festival Jazz pod hradom,jazz_and_blues,https://www.jazzfestival.sk/,,,Trenčín,48.895365,18.041664,,,
Film Square Festival Trenčín,film_festivals_and_organisations,https://filmsquare.sk/ ,,,Trenčín,48.8944968,18.0409745,,,
Folklórna skupina Kubran,folklore,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/ ,,,Trenčín,48.8943645035406,18.0785075060164,,,
Folklórny súbor Brezina,folklore,https://www.facebook.com/p/Folkl%C3%B3rny-s%C3%BAbor-Brezina-61567027571441/ ,,,Trenčín,48.913746,18.093211,,,
Folklórny súbor Čákovec,folklore,http://fscakovec.sk,,,Trenčín,48.894839,18.013893,,,
Folklórny súbor Nadšenci,folklore,www.nadsenci.sk,,,Trenčín,48.901476,18.034734,,,
Folklórny súbor Seniorklub Družba,folklore,www.fsdruzba.szm.sk,,,Trenčín,48.881203,18.03475,,,
Folklórny súbor ÚSMEV,dance_school,https://www.facebook.com/fsusmev/about?locale=sk_SK,,,Trenčín,48.89324,18.0784999,,,
Folklórny súbor Véna,folklore,http://fsvenatn.webnode.sk/,,,Trenčín,48.895813,18.026842,,,
Folkórna skupina Opatovskí harmonikári,choir,https://www.facebook.com/trencin.opatova/photos/ ,,,Trenčín,48.914660724822,18.0934804645979,,,
Folkórny súbor Trenčan,folklore,https://www.fstrencan.sk,,,Trenčín,48.914660724822,18.0934804645979,,,
For Maat,cultural_center,http://www.formaat.sk/,,,Trenčín,48.8958635,18.053337,,,
Foto Vrátny,photography_store_and_services,http://www.vfoto.sk/ ,,,Trenčín,48.8905017,18.0366933,,,
Fotoskupina MÉTA,photographers,https://www.tnos.sk/klubova-cinnost/fotostredisko-pri-tnos/skupina-meta.html?page_id=497 ,,,Trenčín,48.887408,18.033586,,,
Galéria Miloša Alexandra Bazovského v Trenčíne,art_gallery,https://www.gmab.sk/,,,Trenčín,48.896133,18.042136,,,
Galéria Nová Vlna,art_gallery,https://www.facebook.com/nova.vlna.1/,,,Trenčín,48.8939814,18.0553084,,,
Gallery Qex,art_gallery,Ingen webbplats,,,Trenčín,48.896881,18.045141,,,
Hangár X,aviation_museum,https://www.hangarx.sk/ ,,,Trenčín,48.872143,18.017739,,,
"Happyband Orchester - Clover Media, s.r.o.",musical_band_orchestras,https://www.happyband.sk/,,,Trenčín,48.897509,18. 059828,,,
Hotel Elizabeth,venue_and_event_space,https://www.hotelelizabeth.sk/ ,,,Trenčín,48.896007,18.04425,,,
Hudy Racing Arena,venue_and_event_space,https://www.facebook.com/HudyArena/?locale=sk_SK,,,Trenčín,48.889249,18.062049,,,
Klub Lúč - otvorený kultúrny priestor,music_venue,https://www.klubluc.sk/,,,Trenčín,48.895365,18.041664,,,
Knihy Pre Každého,books_store,https://www.knihyprekazdeho.sk/,,,Trenčín,48.8936974,18.0383128,,,
Komorný orchester mesta Trenčín,musical_band_orchestras,https://komorny-orchester.sk/,,,Trenčín,48.8941463,18.036944,,,
Kreatívne Centrum FabLab Trenčianskej Univerzity,community_center,http://www.kreativnecentrum.eu/,,,Trenčín,48.8965179,17.9962704,,,
Kultúrne centrum Aktivity,community_services_non_profits,http://www.kcaktivity.sk/ ,,,Trenčín,48.8727207,18.0453483,,,
Kultúrne centrum Dlhé Hony,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/ ,,,Trenčín,48.88309,18.033113,,,
Kultúrne centrum Juh,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/,,,Trenčín,48.8738415779086,18.0450147431316,,,
Kultúrne centrum Sihoť,community_center,https://www.kcsihot.sk/ ,,,Trenčín,48.897597,18.06986,,,
Kultúrne stredisko Kubra,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/ ,,,Trenčín,48.8943645035406,18.0785075060164,,,
Kultúrne stredisko Kubrica,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/,,,Trenčín,48.8792526357693,18.1004522843786,,,
Kultúrne stredisko Opatová,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/ ,,,Trenčín,48.914660724822,18.0934804645979,,,
Kultúrne stredisko Záblatie,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/ ,,,Trenčín,48.8962199790922,. 17.997334219790332,,,
Kultúrne stredisko Zlatovce,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/ ,,,Trenčín,48.9038171600256,18.0140122174228,,,
Kultúrno-informačné centrum,attractions_and_activities,https://visit.trencin.sk/,,,Trenčín,48.895100,18.041005,,,
Kultúrno-kreatívne centrum Hviezda,theater_and_performance_venues,http://www.hviezda.eu/ ,,,Trenčín,48.8941463,18.036944,,,
Kultúrno-kreatívne centrum Hviezda,recording_and_rehearsal_studio,http://www.hviezda.eu/ ,,,Trenčín,48.8941463,18.036944,,,
Kultúrny most FIESTA,community_center,https://trencin.sk/pre-obcanov/investicie/fiesta-most-revitalizacia-stareho-zeleznicneho-mosta/,,,Trenčín,48.897777,18.037405,,,
LaserArena,arts_and_entertainment,https://www.laserarenatn.sk/,,,Trenčín,48.8959502868552,18.0549339712236,,,
Ľudová hudba Mlynári,folklore,https://www.facebook.com/mlynari/?locale=sk_SK ,,,Trenčín,48.895100,18.041005,,,
Ľudová spevácka skupina Škrupinka,folklore,https://www.facebook.com/%C5%A0krupinka-170291466329483/,,,Trenčín,48.885503,18.033199,,,
Men at Sound,record_label,http://menatsound.studio/,,,Trenčín,48.8947747,18.0371164,,,
Mestská veža,art_gallery,https://visit.trencin.sk/mestska-veza/ ,,,Trenčín,48.894229,18.040189,,,
Mestské divadlo Trenčín,theatrical_productions,http://www.mestskedivadlotrencin.sk/,,,Trenčín,48.8924275,18.0385692,,,
Mládežnícky spevácky zbor Južania,choir,https://juzania.webnode.sk/mladeznicky-zbor/ ,,,Trenčín,48.871257,18.040667,,,
Monika Groove,dance_school,https://rosaline.sk/groove-dance/,,,Trenčín,48.8767,18.02131,,,
MS Dance Studio,dance_school,http://www.msdance.sk/ ,,,Trenčín,48.8804878,18.0212104,,,
Neboj sa remesla,arts_and_crafts,https://www.nebojsaremesla.sk/,,,Trenčín,48.9007734,18.0506541,,,
Panorama club,venue_and_event_space,http://www.panoramaclub.sk/ ,,,Trenčín,48.8960964,18.0429188,,,
Panta Rhei Laugaricio,books_store,http://www.pantarhei.sk ,,,Trenčín,48.8658513,18.0235642,,,
Piano Club,music_venue,http://www.pianoklub.sk/ ,,,Trenčín,48.8896398,18.0593366,,,
Piano Club,music_venue,http://www.pianoklub.sk/ ,,,Trenčín,48.8896398,18.0593366,,,
Piaristický kostol sv.Františka Xaverského,music_venue,https://trencin.fara.sk/?page_id=158,,,Trenčín,48.894829,18.040339,,,
Plejs for movement,dance_school,https://plejsformovement.sk/ ,,,Trenčín,48.885492,18.033215,,,
Pohoda Festival,music_festival_and_organisations,https://www.pohodafestival.sk/,,,Trenčín,48.874313,18.009982,,,
Posádkový klub Trenčín - Dom armády,venue_and_event_space,https://www.domarmady.sk/ ,,,Trenčín,48.8922483,18.038723,,,
Pútnické miesto Skalka pri Trenčíne,venue_and_event_space,https://putnickemiestoskalka.sk/,,,Trenčín,48.907298,18.075042,,,
Refektár Piaristického gymnázia J.Braneckého,music_venue,https://pgjbtn.edupage.org/,,,Trenčín,48.894973,18.040479,,,
Skupina historického šermu Normani,theatrical_productions,https://www.facebook.com/groups/133831203296037/ ,,,Trenčín,48.894705,18.045049,,,
Skupina historického šermu Wagus,theatrical_productions,http://www.wagus.sk/ ,,,Trenčín,48.894705,18.045049,,,
Spevácky zbor Piarissimo,choir,https://www.facebook.com/piarissimo/?locale=sk_SK,,,Trenčín,48.894973,18.040479,,,
Spevácky zbor Trenčianskej univerzity A.Dubčeka,choir,https://www.facebook.com/100070880409703/about/,,,Trenčín,48.898662,18.047597,,,
Stoklasa Radovan,photographers,https://stoklasa.sk/ ,,,Trenčín,48.895079,18.040999,,,
Stopa Studios,record_label,https://stopastudios.sk/ ,,,Trenčín,48.885887,18.031461,,,
Stredná priemyslená škola stavebná Emila Belluša - drevárska a nábytkárska výroba,art_school,https://sstn.edupage.org/,,,Trenčín,48.897728,18.022825,,,
Súbor starej hudby Musica poetica,musical_band_orchestras,https://musicapoetica.szm.sk/ ,,,Trenčín,48.898274,18.063224,,,
Súkromná základná umelecká škola Trenčín,art_school,http://www.szus-tn.sk/ ,,,Trenčín,48.877837,18.045993,,,
Škola umeleckého priemyslu ,art_school,https://suptn.edupage.org/,,,Trenčín,48.89673,18.022846,,,
Štátny okresný archív v Trenčíne,archive,https://www.minv.sk/?statny-archiv-v-trencine,,,Trenčín,48.894606,18.017557,,,
Tance pre radosť,dance_school,https://tancepreradost.wordpress.com/,,,Trenčín,48.888473,18.035629,,,
Tanečná skupina Goonies,dance_school,https://www.facebook.com/tsgoonies/?locale=sk_SK ,,,Trenčín,48.8733112806148,18.045600065318,,,
Tanečná skupina Korzo Dance,dance_school,http://www.korzodance.sk/ ,,,Trenčín,48.88661,18.06447,,,
Tanečný klub Aura Dance,dance_school,https://auradance.sk/,,,Trenčín,48.8833975425534,18.0325930703724,,,
Tanečný klub Dukla Trenčín,dance_school,http://tkdukla.sk/,,,Trenčín,48.8964615,18.0228901,,,
Tanečný klub Neonity,dance_school,https://kcaktivity.com/neonity/,,,Trenčín,48.8733112806148,18.045600065318,,,
TRAKT,arts_and_entertainment,http://trakt.sk/ ,,,Trenčín,48.8811233,18.0330113,,,
Trenčianska univerzita Alexandra Dubčeka - dizajn a inžinierstvo,design_school,https://tnuni.sk/,,,Trenčín,48.898662,18.047597,,,
Trenčianske múzeum - Karner sv.Michala,history_museum,https://trencianskyhrad.sk/trenciansky-hrad/hradne-objekty/kostnica-karner-sv-michala/,,,Trenčín,48.893672,18.04153,,,
Trenčianske múzeum - Katov Dom,history_museum,http://www.muzeumtn.sk/expozicie/katov-dom.html?page_id=300 ,,,Trenčín,48.8943957,18.0430415,,,
Trenčianske múzeum - Župný dom,museum,http://www.muzeumtn.sk/ ,,,Trenčín,48.8955958,18.0438514,,,
Trenčianske osvetové stredisko v Trenčíne,cultural_center,https://www.tnos.sk/hlavna-stranka/kontakt.html?page_id=183,,,Trenčín,48.887408,18.033586,,,
Trenčiansky hrad,history_museum,https://trencianskyhrad.sk/,,,Trenčín,48.894705,18.045049,,,
Trenčiansky spevácky zbor,choir,https://www.facebook.com/profile.php?id=61568863863507&sk=about,,,Trenčín,48.89212,18.037571,,,
Trenčín - European Capital of Culture 2026,community_services_non_profits,http://www.trencin2026.eu/,,,Trenčín,48.8962135,18.0441001,,,
TvorArt - ateliér pre všetkých,community_center,https://tvorart.sk/ ,,,Trenčín,48.902453,18.014295,,,
Verejná Knižnica Michala Rešetku v Trenčíne,library,http://www.vkmr.sk/ ,,,Trenčín,48.892892,18.039138,,,
Vokálna skupina VOX,choir,https://voxvocal.sk/,,,Trenčín,48.896733,18.045757,,,
Volt Racing Center,attractions_and_activities,https://www.elektrickemotokary.sk/,,,Trenčín,48.893009463514,18.0185976693395,,,
Základná umelecká škola Karola Pádivého,art_school,https://www.zustrencin.sk/,,,Trenčín,48.896733,18.045757,,,
Združenie pre súčasné umenie Kolomaž,community_services_non_profits,https://www.klubluc.sk/,,,Trenčín,48.895365,18.041664,,,
Zvon spevácky zbor Evanjelickej cirkvi a.v,choir,https://www.facebook.com/profile.php?id=100064976970418,,,Trenčín,48.89212,18.037571,,,
